timestamp_local,wallet,signature,action,mint,amount,fee_sol,block_time
2025-10-08 16:36:32,4Vgu5AHT1ndczhdgqAipNDqLsCPjBS5jMXkEg8yzhT9c,5XQ7Z13ZMxo3eSrzH2hddC1siM1YfC6X8ekpnRdHbRNWLLutZ3fjWUJE8YyfsTm6YmUTP6VXNK12Em9qG5b9qtzx,SELL,CzdpPoGiyWHg62uSziwNswjN2STE4xXDGsVTKZ2BQKGk,1664634.769513,0.007505001,1759773168
2025-10-08 16:36:32,4Vgu5AHT1ndczhdgqAipNDqLsCPjBS5jMXkEg8yzhT9c,36dskps2G1WecpPa9Wue2XbxfgNHgtrUeorfG4WCgMsEE5io2ubNLshjhggHjYZLtU2ePZE2p1m4BYtr5Ye6HN2e,SELL,CzdpPoGiyWHg62uSziwNswjN2STE4xXDGsVTKZ2BQKGk,1664634.769513,0.007505001,1759773143
2025-10-08 16:36:41,4Vgu5AHT1ndczhdgqAipNDqLsCPjBS5jMXkEg8yzhT9c,3UvBYHeMZ6xq4Wm6EUCEdcPusrjkJL5X4C8dyGFPS2jMRT1TXdfcGncTGqCbnywAhpaegX5jzUnGNncCvrjT8AcP,SELL,Cr1sodorj2MiG2ozwRy9mjqdREFMdKVsqFFMmn16pump,9402878.328056,0.007505001,1759771683
